Longitude,Latitude,Target,Aspect,Curvature,Rainfall_Pentad,River_dist_mts,Geology_Age,Geomorphology,Slope,Roads_dist_mts,Soil_type
78.6686,29.606,0,1,1,291.0797119,8,12,3,1,33,2
78.5801,29.6423,0,9,1,279.338501,18,12,3,1,34,6
78.7672,29.5183,0,4,3,284.1284485,0,12,3,1,0,6
78.7203,29.6353,0,4,2,288.563385,16,12,3,1,61,6
78.6307,29.5928,0,5,3,275.1101074,51,12,3,1,29,2
78.7037,29.5457,0,3,1,278.1676636,33,12,3,1,29,6
78.7268,29.6298,0,3,3,288.563385,8,12,3,2,67,6
78.725,29.6558,0,3,3,290.1777039,11,11,3,2,43,2
78.7214,29.6414,0,2,3,288.563385,16,12,3,2,61,7
78.7575,29.535,0,6,2,284.1284485,8,11,3,3,16,6
78.7539,29.6639,0,8,3,289.3938293,0,12,3,3,33,2
78.6306,29.6342,0,9,1,284.3057251,8,11,3,3,65,6
78.5465,29.6825,0,7,2,283.1112061,18,12,3,4,18,7
78.974567,29.648915,1,7,3,288.8476562,18,,3,2,0,6
78.984529,29.657609,1,7,1,280.6723938,18,,3,3,0,6
78.904246,29.69332,1,3,2,280.0701904,36,,3,3,0,6
78.93,29.63,1,5,1,295.0628052,8,12,3,3,0,2
78.988123,29.66593,1,4,3,280.6723938,11,,3,2,8,6
78.915386,29.692393,1,7,3,280.0701904,40,,3,3,0,6
79.011225,29.661478,1,6,1,271.8328247,29,8,3,1,0,6
78.974838,29.648331,1,7,2,288.8476562,18,,3,3,0,6
78.992638,29.656989,1,3,1,280.6723938,26,,3,3,0,6
79.040688,29.625215,1,9,3,275.3287964,51,8,3,2,0,6
78.902758,29.693145,1,10,3,280.0701904,36,,3,2,0,2
78.943,29.638,1,3,1,295.0628052,0,8,3,3,0,6
79.0407,29.6549,1,5,3,271.8328247,36,8,3,5,8,6
78.909,29.673,1,3,1,280.0701904,16,,3,2,0,6
78.864131,29.464422,1,9,1,293.5103149,47,12,3,1,43,2
78.916883,29.663484,1,4,2,280.0701904,8,8,3,3,0,6
78.8962,29.615,0,1,1,297.9147339,29,12,3,1,0,6
78.86,29.4969,0,6,2,293.5103149,16,12,3,1,16,6
78.8253,29.6483,0,9,3,296.3054199,8,12,3,1,24,6
79.0121,29.6521,0,6,1,271.8328247,36,8,3,1,0,6
78.8249,29.6447,0,9,1,296.3054199,8,12,3,1,24,6
79.0443,29.6285,0,5,3,275.3287964,52,8,3,1,0,6
78.969,29.5716,0,8,3,294.010498,26,12,3,1,26,6
78.8231,29.5134,0,9,1,290.3517151,0,11,3,1,8,6
78.8017,29.5382,0,6,2,290.3517151,16,11,3,2,8,5
78.8939,29.4989,0,3,3,293.5103149,29,11,3,2,8,2
78.9009,29.4913,0,10,1,,36,11,3,2,16,2
78.7991,29.5591,0,8,3,287.6548462,24,11,18,2,18,1
79.0273,29.653,0,3,3,271.8328247,46,8,3,2,11,6
78.8839,29.6097,0,8,2,297.9147339,24,12,3,3,8,6
78.7803,29.496,0,5,1,,24,12,3,3,11,6
78.9421,29.6411,0,5,1,295.0628052,0,8,2,3,0,6
78.7809,29.695,0,7,1,289.3938293,26,12,3,3,0,6
79.0135,29.6506,0,8,3,271.8328247,36,8,3,3,0,6
78.8411,29.6493,0,6,1,296.3054199,8,12,3,3,23,6
78.9454,29.6742,0,3,1,280.0701904,26,,3,3,16,6
78.9363,29.5413,0,5,3,283.5956421,11,12,3,3,8,6
78.8434,29.5044,0,9,1,290.3517151,8,11,3,3,23,6
78.9641,29.6449,0,9,1,288.8476562,8,8,3,4,0,6
79.051262,29.683904,1,7,3,280.7940674,11,8,3,3,8,6
79.052059,29.682467,1,6,3,280.7940674,11,8,3,3,8,6
79.067813,29.679059,1,7,1,280.7940674,8,8,3,3,0,6
79.047244,29.653902,1,5,1,271.8328247,29,8,3,2,0,6
79.06758,29.6426,1,5,1,283.4223633,26,8,3,2,0,6
79.073334,29.630989,1,7,2,283.4223633,40,8,3,4,0,2
79.062201,29.631694,1,5,3,283.4223633,43,8,3,3,0,6
79.067325,29.656813,1,6,1,280.7940674,18,8,3,4,0,6
79.061107,29.681667,1,7,2,280.7940674,11,8,3,3,8,6
79.0696,29.6794,0,6,3,280.7940674,8,8,3,1,0,6
79.0547,29.6359,0,5,1,283.4223633,36,8,3,1,8,6
79.0497,29.685,0,6,3,271.8328247,11,8,3,4,8,6
77.9195,29.7315,0,5,3,262.6286011,11,13,2,2,0,2
77.8763,29.8483,0,9,2,240.1590271,8,13,2,2,0,2
78.190271,29.911128,1,7,1,283.550293,23,11,3,2,8,6
78.197423,29.90322,1,3,1,283.550293,32,11,3,3,16,6
78.181501,29.901485,1,8,1,283.550293,16,11,2,2,0,6
78.487194,29.931655,1,4,1,268.9074707,26,8,3,3,0,6
